height,block_time_utc,gross_reward_bch,subsidy_bch,transaction_fees_bch,bch_usd,gross_value_usd,bitstamp_bch_usd,bitstamp_comparison_value_usd,source_difference_percent,price_candle_end_utc,price_age_seconds,checked_at_utc
966569,2026-09-01T03:50:05Z,3.12542747,3.12500000,0.00042747,247.68,774.11,247.60,773.86,0.0323,2026-09-01T03:50:00Z,5,2026-09-05T22:36:31Z
928165,2025-12-06T08:33:03Z,3.12570713,3.12500000,0.00070713,573.61,1792.94,573.75,1793.37,0.0244,2025-12-06T08:32:00Z,63,2026-09-05T22:36:30Z
928098,2025-12-05T21:48:01Z,3.12636404,3.12500000,0.00136404,561.7,1756.08,561.93,1756.80,0.0409,2025-12-05T21:48:00Z,1,2026-09-05T22:36:30Z
916984,2025-09-20T10:02:02Z,3.12630717,3.12500000,0.00130717,601.58,1880.72,601.43,1880.25,0.0249,2025-09-20T10:02:00Z,2,2026-09-05T22:36:31Z
916429,2025-09-16T16:46:10Z,3.12644433,3.12500000,0.00144433,597.45,1867.89,597.35,1867.58,0.0167,2025-09-16T16:46:00Z,10,2026-09-05T22:36:31Z
916154,2025-09-14T20:24:45Z,3.12613920,3.12500000,0.00113920,594.67,1859.02,595.69,1862.21,0.1715,2025-09-14T20:24:00Z,45,2026-09-05T22:36:33Z
915924,2025-09-13T05:51:49Z,3.12621588,3.12500000,0.00121588,601.54,1880.54,601.89,1881.64,0.0582,2025-09-13T05:51:00Z,49,2026-09-05T22:36:33Z
915824,2025-09-12T14:05:13Z,3.12603710,3.12500000,0.00103710,590.55,1846.08,590.50,1845.92,0.0085,2025-09-12T14:04:00Z,73,2026-09-05T22:36:33Z
915321,2025-09-09T00:18:10Z,3.12628694,3.12500000,0.00128694,588.05,1838.41,588.07,1838.48,0.0034,2025-09-09T00:18:00Z,10,2026-09-05T22:36:34Z
914850,2025-09-05T15:51:57Z,3.12508224,3.12500000,0.00008224,611.28,1910.30,611.75,1911.77,0.0769,2025-09-05T15:51:00Z,57,2026-09-05T22:36:34Z
914754,2025-09-05T04:27:58Z,3.12661462,3.12500000,0.00161462,594.14,1857.65,593.50,1855.65,0.1077,2025-09-05T04:27:00Z,58,2026-09-05T22:36:34Z
914557,2025-09-03T18:34:12Z,3.12508827,3.12500000,0.00008827,597.77,1868.08,597.32,1866.68,0.0753,2025-09-03T18:34:00Z,12,2026-09-05T22:36:35Z
914527,2025-09-03T12:31:03Z,3.12934630,3.12500000,0.00434630,603.15,1887.47,603.31,1887.97,0.0265,2025-09-03T12:31:00Z,3,2026-09-05T22:36:36Z
914486,2025-09-03T06:58:03Z,3.12538262,3.12500000,0.00038262,594.96,1859.48,595.18,1860.17,0.0370,2025-09-03T06:58:00Z,3,2026-09-05T22:36:36Z
914439,2025-09-03T00:21:32Z,3.13660412,3.12500000,0.01160412,583.66,1830.71,583.69,1830.80,0.0051,2025-09-03T00:21:00Z,32,2026-09-05T22:36:36Z
914407,2025-09-02T18:31:08Z,3.12650795,3.12500000,0.00150795,582.96,1822.63,584.01,1825.91,0.1801,2025-09-02T18:31:00Z,8,2026-09-05T22:36:37Z
914239,2025-09-01T18:20:42Z,3.12502275,3.12500000,0.00002275,545.49,1704.67,546.28,1707.14,0.1448,2025-09-01T18:20:00Z,42,2026-09-05T22:36:37Z
914226,2025-09-01T15:30:33Z,3.12770209,3.12500000,0.00270209,545.03,1704.69,544.79,1703.94,0.0440,2025-09-01T15:29:00Z,93,2026-09-05T22:36:38Z
914122,2025-08-31T22:13:50Z,3.12823819,3.12500000,0.00323819,546.77,1710.43,545.94,1707.83,0.1518,2025-08-31T22:12:00Z,110,2026-09-05T22:36:38Z
914076,2025-08-31T13:48:39Z,3.12511446,3.12500000,0.00011446,546.79,1708.78,546.73,1708.59,0.0110,2025-08-31T13:47:00Z,99,2026-09-05T22:36:38Z
913971,2025-08-30T21:06:26Z,3.12886727,3.12500000,0.00386727,545.79,1707.70,545.88,1707.99,0.0165,2025-08-30T21:06:00Z,26,2026-09-05T22:36:39Z
913959,2025-08-30T18:52:28Z,3.12535111,3.12500000,0.00035111,543.39,1698.28,543.53,1698.72,0.0258,2025-08-30T18:52:00Z,28,2026-09-05T22:36:39Z
913820,2025-08-29T21:30:32Z,3.12591546,3.12500000,0.00091546,532.44,1664.36,529.96,1656.61,0.4658,2025-08-29T21:30:00Z,32,2026-09-05T22:36:39Z
913680,2025-08-28T21:41:37Z,3.12629823,3.12500000,0.00129823,552.56,1727.47,552.93,1728.62,0.0670,2025-08-28T21:41:00Z,37,2026-09-05T22:36:40Z
913451,2025-08-27T06:54:42Z,3.12507532,3.12500000,0.00007532,556.5,1739.10,557.63,1742.64,0.2031,2025-08-27T06:54:00Z,42,2026-09-05T22:36:40Z
913423,2025-08-27T03:28:18Z,3.12612515,3.12500000,0.00112515,547.3,1710.93,547.03,1710.08,0.0493,2025-08-27T03:28:00Z,18,2026-09-05T22:36:40Z
913256,2025-08-25T21:10:12Z,3.12562966,3.12500000,0.00062966,540.23,1688.56,539.51,1686.31,0.1333,2025-08-25T21:10:00Z,12,2026-09-05T22:36:41Z
912928,2025-08-23T14:20:52Z,3.12593850,3.12500000,0.00093850,591.19,1848.02,592.20,1851.18,0.1708,2025-08-23T14:20:00Z,52,2026-09-05T22:36:41Z
912893,2025-08-23T09:19:27Z,3.12594102,3.12500000,0.00094102,589.45,1842.59,589.55,1842.90,0.0170,2025-08-23T09:17:00Z,147,2026-09-05T22:36:42Z
912853,2025-08-23T02:03:17Z,3.12819029,3.12500000,0.00319029,593.95,1857.99,593.75,1857.36,0.0337,2025-08-23T02:03:00Z,17,2026-09-05T22:36:43Z
912775,2025-08-22T15:24:50Z,3.12507329,3.12500000,0.00007329,598.33,1869.83,598.09,1869.08,0.0401,2025-08-22T15:24:00Z,50,2026-09-05T22:36:43Z
912602,2025-08-21T10:36:39Z,3.12708359,3.12500000,0.00208359,556.96,1741.66,557.20,1742.41,0.0431,2025-08-21T10:36:00Z,39,2026-09-05T22:36:43Z
